Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Michelle Douglas,1963,Canadian,"Former soldier, LGBT rights activist",L,F,AD,Michelle Douglas
 Orville Lloyd Douglas,1976,Canadian,Writer,G,M,AD,Orville Lloyd Douglas
 Edward Douglas Scott Montagu 3rd Baron of Beaulieu,1927,English,Politician,B,M,AD,"Edward Douglas-Scott-Montagu, 3rd Baron Montagu of Beaulieu"
 Gregory Douglass,1980,American,Musician,G,M,AD,Gregory Douglass
 Robert Dover,1956,American,Equestrian,G,M,AD,Robert Dover
 Brian Dowling,1978,Irish,Television presenter,G,M,AD,Brian Dowling
 J D Doyle,1947,American,"Radio producer, Queer Music Collector",G,M,AD,JD Doyle
 David Drake,1963,American,Actor,G,M,AD,David Drake
 Karla Drenner,1961,American,"Politician, academic",L,F,AD,Karla Drenner
 Donna Dresch,�,American,Rock musician,L,F,AD,Donna Dresch
 James Dreyfus,1968,English,Actor,G,M,AD,James Dreyfus
 Tom Driberg Baron Bradwell,1905-1976,English,"Politician, journalist",G,M,AD,"Tom Driberg, Baron Bradwell"
 Nancy Drolet,1973,Canadian,Ice hockey player,L,F,AD,Nancy Drolet
 Ed Droste,1978,American,Musician,G,M,AD,Ed Droste
 Drubskin,1973,American,Artist,G,M,AD,Drubskin
 Malka Drucker,1945,American,"Rabbi, writer",L,F,AD,Malka Drucker
 Thomas Duane,1955,American,Politician,G,M,AD,Thomas Duane
 Martin Duberman,1932,American,Historian,G,M,AD,Martin Duberman
 Rene Daniel Dubois,1955,Canadian,Writer,G,M,AD,René-Daniel Dubois
 Sandi Simcha Du Bowski,1970,American,Filmmaker,G,M,AD,Sandi Simcha DuBowski
 Carol Ann Duffy,1955,Scottish,Poet,L,F,AD,Carol Ann Duffy
 Maureen Duffy,1933,English,Writer,L,F,AD,Maureen Duffy
 Bevan Dufty,1955,American,Politician,G,M,AD,Bevan Dufty
 Bonnie Dumanis,1951,American,District Attorney,L,F,AD,Bonnie Dumanis
 Daphne du Maurier,1907-1989,English,Author,B,F,AD,Daphne du Maurier
 Karen Dunbar,1971,Scottish,Comedian,L,F,AD,Karen Dunbar
 Alice Dunbar Nelson,1875-1935,American,"Poet, journalist, political activist",B,F,AD,Alice Dunbar-Nelson
 Alan Duncan,1957,English,Member of Parliament,G,M,AD,Alan Duncan
 Isadora Duncan,1887-1927,American,Dancer,B,F,AD,Isadora Duncan
 Ian Campbell Dunn,1943-1998,Scottish,LGBT rights activist,G,M,AD,Ian Campbell Dunn
 Kristyn Dunnion,1969,Canadian,"writer, performance artist",L,F,AD,Kristyn Dunnion
 Don Dunstan,1926-1999,Australian,Politician,G,M,AD,Don Dunstan
 Cheryl Dunye,1966,American,Film director,L,F,AD,Cheryl Dunye
 Imke Duplitzer,1975,German,Olympic fencer,L,F,AD,Imke Duplitzer
 Alonso Duralde,1967,American,Film critic,G,M,AD,Alonso Duralde
 John Duran,�,American,Mayor of West Hollywood,G,M,AD,John Duran
 Eric Durchholz,1972,American,Author,G,M,AD,Eric Durchholz
 Eleonora Duse,1859-1924,Italian,Actor,B,F,AD,Eleonora Duse
 Guillaume Dustan,1965-2005,French,Writer,G,M,AD,Guillaume Dustan
 Andrea Dworkin,1946-2005,American,"Feminist, LGBT rights activist",L,F,AD,Andrea Dworkin
 Deborah Dyer,1967,English,Rock musician,B,F,AD,Deborah Dyer
 Elana Dykewomon,1949,American,"Activist, writer",L,F,AD,Elana Dykewomon
 Lillian Faderman,1940,American,"Writer, educator",L,F,AD,Lillian Faderman
 Richard Fairbrass,1953,English,Musician (Right Said Fred),B,M,AD,Richard Fairbrass
 Tiffani Faison,1977,American,"Chef, reality show contestant",B,F,AD,Tiffani Faison
 Marianne Faithfull,1946,English,"Rock musician, actor",B,F,AD,Marianne Faithfull
 Peter Fallico,�,Canadian,"Interior designer, television personality",G,M,AD,Peter Fallico
 Sam Falson,1982,American,Singer,G,M,AD,Sam Falson
 Rotimi Fani Kayode,1955-1989,Nigerian,Photographer,G,M,AD,Rotimi Fani-Kayode
 Gareth Farr,1968,New Zealander,"Contemporary classical composer, drag performer",G,M,AD,Gareth Farr
 Jane Farrow,1961,Canadian,"Writer, broadcaster",L,F,AD,Jane Farrow
 Daniel Farson,1927-1997,English,Writer and broadcaster,G,M,AD,Daniel Farson
 Justin Fashanu,1961-1998,British,Footballer,G,M,AD,Justin Fashanu
 Brigitte Fassbaender,1939,German,Opera singer,L,F,AD,Brigitte Fassbaender
 Rainer Werner Fassbinder,1945-1982,German,Film director,G,M,AD,Rainer Werner Fassbinder
 Brenda Fassie,1964-2004,South African,Pop musician,B,F,AD,Brenda Fassie
 Freda du Faur,1882-1935,Australian,Mountaineer,L,F,AD,Freda du Faur
 Frances Faye,1912-1991,American,Cabaret musician,B,F,AD,Frances Faye
 Fredrick Federley,1978,Swedish,Politician,G,M,AD,Fredrick Federley
 Mark Feehily,1980,Irish,Pop musician (Westlife),G,M,AD,Mark Feehily
 Anselmo Feleppa,1956-1993,Brazilian,Fashion designer,G,M,AD,Anselmo Feleppa
 Antonio A Feliz,�,American,Clergy,G,M,AD,Antonio A. Feliz
 Art Feltman,1958,American,Politician,G,M,AD,Art Feltman
 John Fennell,1995,Canadian,Olympic luger,G,M,AD,John Fennell
 Steen Fenrich,1981-1999,American,Teenager murdered by his stepfather,G,M,AD,Steen Fenrich
 James Fenton,1949,English,"Writer, academic",G,M,AD,James Fenton
 Kevin Fenton,1966,Scottish,"Physician, epidemiologist",G,M,AD,Kevin Fenton
 Fergie,1975,American,"Singer, model, fashion designer",B,F,AD,Fergie
 Jesse Tyler Ferguson,1975,American,Actor,G,M,AD,Jesse Tyler Ferguson
 Dominique Fernandez,1929,French,"Writer, academic",L,F,AD,Dominique Fernandez
 Lynne Fernie,1946,Canadian,Filmmaker,L,F,AD,Lynne Fernie
 Ferrandino Mark,1977,American,Politician,G,M,AD,"Ferrandino, MarkMark Ferrandino"
 Frank Ferri,1954,American,Politician,G,M,AD,Frank Ferri
 Melissa Ferrick,1970,American,Rock musician,B,F,AD,Melissa Ferrick
 Michelle Ferris,1976,Australian,Olympic cyclist,L,F,AD,Michelle Ferris
 Robert Ferro,1941-1988,American,Writer,G,M,AD,Robert Ferro
 Tiziano Ferro,1980,Italian,Singer,G,M,AD,Tiziano Ferro
 Edward Field,1924,American,Poet,G,M,AD,Edward Field
 Patricia Field,1941,American,"Costume designer, stylist",L,F,AD,Patricia Field
 Danny Fields,1941,American,"Journalist, promoter, author",G,M,AD,Danny Fields
 Harvey Fierstein,1952,American,Actor,G,M,AD,Harvey Fierstein
 Timothy Findley,1930-2002,Canadian,"Novelist, playwright",G,M,AD,Timothy Findley
 Leonor Fini,1907-1996,Argentinian,Painter,B,M,AD,Leonor Fini
 Tom of Finland,1920-1991,Finnish,Artist,G,M,AD,Tom of Finland
 Leslie Fish,�,American,"Musician, author, political activist",B,F,AD,Leslie Fish
 Jeremy Fisher,1954,New Zealander,Writer,G,M,AD,Jeremy Fisher
 M F K Fisher,1908-1992,American,Writer,B,M,AD,M. F. K. Fisher
 Fitz Patrick Joe,1967,Scottish,Politician,G,M,AD,"FitzPatrick, JoeJoe FitzPatrick"
 William P Fitzpatrick,�,American,Politician,G,M,AD,William P. Fitzpatrick
 Fannie Flagg,1944,American,"Author, actor",L,F,AD,Fannie Flagg
 Rosanna Flamer Caldera,1956,Sri Lankan,Activist,L,F,AD,Rosanna Flamer-Caldera
 Ed Flanagan,1950,American,Politician,G,M,AD,Ed Flanagan
 Maile Flanagan,1965,American,Actor,L,F,AD,Maile Flanagan
 Gustave Flaubert,1821-1880,French,Author,B,M,AD,Gustave Flaubert
 Mike Fleck,1973,American,Politician,G,M,AD,Mike Fleck
 Andrew Fleming,1963,American,"Film director, screenwriter",G,M,AD,Andrew Fleming
 Kate Fleming,1965-2006,American,Audiobook narrator and producer,L,F,AD,Kate Fleming
 Peter Flinsch,1920,German/Canadian,"Artist, television set designer",G,M,AD,Peter Flinsch
 Nina Flowers,1974,Puerto Rican,"Drag queen, reality television personality",G,M,AD,Nina Flowers
 Gary Floyd,1953,American,Singer (The Dicks),G,M,AD,Gary Floyd
 Kay Floyd,�,American,Politician,L,F,AD,Kay Floyd
 Elizabeth Gurley Flynn,1890-1964,American,Activist,B,F,AD,Elizabeth Gurley Flynn
 Althea Flynt,1953-1987,American,Wife of Larry Flynt,B,F,AD,Althea Flynt
 Waawaate Fobister,1984,Canadian,"Writer, actor",G,M,AD,Waawaate Fobister
 Mark Foley,1954,American,U.S. Representative (R-FL),G,M,AD,Mark Foley
 Ulrike Folkerts,1961,German,Actor,L,F,AD,Ulrike Folkerts
 Hector Fonseca,1980,Puerto Rican-American,Deejay,G,M,AD,Hector Fonseca
 Malcolm Forbes,1919-1990,American,Magazine publisher,B,M,AD,Malcolm Forbes
 Katie Ford,�,American/Canadian,Film and television writer,L,F,AD,Katie Ford
 Tom Ford,1962,American,Fashion designer,G,M,AD,Tom Ford
 Maria Irene Fornes,1930,Cuban-American,Playwright,L,F,AD,Maria Irene Fornes
 E M Forster,1879-1970,British,Writer,G,M,AD,E. M. Forster
 Jackie Forster,1926-1998,English,"Actor, activist",L,F,AD,Jackie Forster
 Wolfgang Fortner,1907-1987,German,Classical composer and conductor,G,M,AD,Wolfgang Fortner
 Pim Fortuyn,1948-2002,Dutch,"Politician, academic and sociologist",G,M,AD,Pim Fortuyn
 Per Kristian Foss,1950,Norwegian,"Politician, first openly gay minister in Norway",G,M,AD,Per-Kristian Foss
 Jodie Foster,1962,American,Actress,L,F,AD,Jodie Foster
 Quentin Fottrell,1975,Irish,Writer,G,M,AD,Quentin Fottrell
 Michel Foucault,1926-1984,French,"Philosopher, historian",B,M,AD,Michel Foucault
 John Fowler,1954,Australian,Politician,G,M,AD,John Fowler
 Simon Fowler,1965,English,Rock musician (Ocean Colour Scene),G,M,AD,Simon Fowler
 Eytan Fox,1964,Israeli,Film director,G,M,AD,Eytan Fox
 Gordon D Fox,1961,American,Politician,G,M,AD,Gordon D. Fox
 Greg Fox,1961,American,Cartoonist,G,M,AD,Greg Fox
 Megan Fox,1986,American,"Model, actress",B,F,AD,Megan Fox
 Samantha Fox,1966,English,"British model, pop musician",L,F,AD,Samantha Fox
 Virgil Fox,1912-1980,American,Classical musician,G,M,AD,Virgil Fox
 David France,�,American,"Journalist, filmmaker",G,M,AD,David France
 Brian Francis,1971,Canadian,Novelist (Fruit),G,M,AD,Brian Francis
 Samuel Kensinger Francis,1974,American,"Fitness journalist, trainer",G,M,AD,Samuel Kensinger Francis
 Kay Francis,1905-1968,American,Actor,B,F,AD,Kay Francis
 Barney Frank,1940,American,Politician,G,M,AD,Barney Frank
 Connor Franta,1992,American,YouTube personality,G,M,AD,Connor Franta
 Daniel Franzese,1978,American,Actor,G,M,AD,Daniel Franzese
 John Fraser,1931,Scottish,Actor,G,M,AD,John Fraser
 Margo Frasier,�,American,First openly lesbian sheriff elected to office,L,F,AD,Margo Frasier
 Peter Frechette,1956,American,Actor,G,M,AD,Peter Frechette
 Marcia Freedman,1938,Israeli-American,Activist,L,F,AD,Marcia Freedman
 Alan Freeman,1927-2006,Australian,Radio DJ,B,M,AD,Alan Freeman
 Chris Freeman,1961,American,Rock musician (Pansy Division),G,M,AD,Chris Freeman
 Jared French,1905-1988,American,Painter,B,M,AD,Jared French
 Elsa von Freytag Loringhoven,1874-1927,German-American,"Artist, poet",B,F,AD,Elsa von Freytag-Loringhoven
 Aaron Fricke,1962,American,"Gay rights activist, author",G,M,AD,Aaron Fricke
 Benedict Friedlaer,1866-1908,German,"Early gay rights activist, author",G,M,AD,Benedict Friedländer
 Lonnie Frisbee,1949-1993,American,Evangelist,G,M,AD,Lonnie Frisbee
 Stephen Fry,1957,British,"Actor, comedian, novelist",G,M,AD,Stephen Fry
 Marilyn Frye,1941,American,Academic,L,F,AD,Marilyn Frye
 Michiyo Fukaya,1953-1987,American,"Writer, activist",L,F,AD,Michiyo Fukaya
 Adrian Fulford,1953,British,Judge,G,M,AD,Adrian Fulford
 Bryan Fuller,1969,American,TV writer,G,M,AD,Bryan Fuller
 Loie Fuller,1862-1928,American,Dancer,G,M,AD,Loie Fuller
 Brenda Sue Fulton,�,American,Military veteran,L,F,AD,Brenda Sue Fulton
 Richard Fung,1954,Canadian,Video artist,G,M,AD,Richard Fung
 Wes Funk,1969-2015,Canadian,Writer,G,M,AD,Wes Funk
 David Furnish,1962,Canadian,Filmmaker,G,M,AD,David Furnish
 Gaahl,1975,Norwegian,"Black Metal vocalist, Gorgoroth",G,M,AD,Gaahl
 Seth Gaaikema,1939-2014,Dutch,"Entertainer, writer",G,M,AD,Seth Gaaikema
 Stefano Gabbana,1962,Italian,"Fashion designer, Dolce & Gabbana",G,M,AD,Stefano Gabbana
 Hannah Gadsby,1978,Australian,Comedian,L,F,AD,Hannah Gadsby
 Lady Gaga,1986,American,"Singer, songwriter and actress",B,F,AD,Lady Gaga
 Patrick Gale,1962,English,Author,G,M,AD,Patrick Gale
 Cathleen Galgiani,1964,American,Politician,L,F,AD,Cathleen Galgiani
 Rudy Galindo,1969,American,Figure skater,G,M,AD,Rudy Galindo
 Vicky Galindo,1983,American,Olympic athlete,B,M,AD,Vicky Galindo
 Anya Gallaccio,1963,Scottish,Artist,L,F,AD,Anya Gallaccio
 John Galliano,1960,Gibraltarian,Fashion designer,G,M,AD,John Galliano
 Steve Galluccio,�,Canadian,Screenwriter,G,M,AD,Steve Galluccio
 Paul Gambaccini,1949,British-American,Radio and television presenter,G,M,AD,Paul Gambaccini
 Philip Gambone,1948,American,Writer,G,M,AD,Philip Gambone
 Nisha Ganatra,1974,Canadian,"Director, actor",L,F,AD,Nisha Ganatra
 Vice Ganda,1976,Filipino,"Actor, comedian, TV host, recording artist",L,F,AD,Vice Ganda
 Jeff Gannon James Dale Guckert,1958,American,Journalist,B,M,AD,Jeff Gannon (James Dale Guckert)
 Robert Gant,1968,American,Actor,G,M,AD,Robert Gant
 Emperor Gaozu of Han,256-195,Chinese (Han Dynasty),Head of state,B,M,BC,Emperor Gaozu of Han
 Victor Garber,1949,Canadian,Actor,G,M,AD,Victor Garber
 Greta Garbo,1905-1990,Swedish,Actor,B,F,AD,Greta Garbo
 Federico Garca Lorca,1898-1936,Spanish,"Poet, dramatist",G,M,AD,Federico García Lorca
 Jonas Gardell,1963,Swedish,"Author, playwright, comedian",G,M,AD,Jonas Gardell
 Randy Gardner,1958,American,Figure skater,G,M,AD,Randy Gardner
 Chris Garneau,1982,American,Rock musician,G,M,AD,Chris Garneau
 Randall Garrison,1950,Canadian,Politician,G,M,AD,Randall Garrison
 Sam Garrison,1952,American,"Lawyer, defended Nixon during impeachment trial",G,M,AD,Sam Garrison
 Stephen Gately,1976-2009,Irish,"Pop musician, actor",G,M,AD,Stephen Gately
 Mark Gatiss,1966,British,"Actor, writer",G,M,AD,Mark Gatiss
 Sylvain Gaudreault,1970,Canadian,Politician,G,M,AD,Sylvain Gaudreault
 Jean Paul Gaultier,1952,French,Fashion designer,G,M,AD,Jean-Paul Gaultier
 Kerry Gauthier,1955,American,Politician,G,M,AD,Kerry Gauthier
 Mary Gauthier,1962,American,"Singer, songwriter",L,F,AD,Mary Gauthier
 Megan Rose Gedris,1986,American,"Comic artist, writer",L,F,AD,Megan Rose Gedris
 Vera Gedroitz,1876-1932,Russian,"Surgeon, poet",L,F,AD,Vera Gedroitz
 Will Geer,1902-1978,American,Actor,B,M,AD,Will Geer
 David Geffen,1943,American,Record executive,G,M,AD,David Geffen
 Kai Gehring,1977,German,Politician,G,M,AD,Kai Gehring
 Joe Genaro,1962,American,"Singer, musician (Dead Milkmen)",G,M,AD,Joe Genaro
 Jean Genet,1910-1986,French,"Playwright, political activist",G,M,AD,Jean Genet
 Louise Boije af Genn �s,1961,Swedish,"Writer, feminist, author",L,F,AD,Louise Boije af Gennäs
 Kitty Genovese,1935-1964,American,Crime victim,L,F,AD,Kitty Genovese
 Boy George,1961,British,Pop musician,G,M,AD,Boy George
 Stefan George,1868-1933,German,Poet,G,M,AD,Stefan George
 David Gerrold,1944,American,Science fiction writer,G,M,AD,David Gerrold
 Malcolm Gets,1963,American,Actor,G,M,AD,Malcolm Gets
 Joel Gibb,1977,Canadian,Folk-rock musician,G,M,AD,Joel Gibb
 Andre Gide,1869-1951,French,Author and Nobel prize winner,G,M,AD,André Gide
 John Gielgud,1904-2000,English,Actor,G,M,AD,John Gielgud
 Jaime Gil de Biedma,1929-1990,Spanish,Poet,G,M,AD,Jaime Gil de Biedma
 Sara Gilbert,1975,American,Actor,L,F,AD,Sara Gilbert
 Peter Gill,1939,Welsh,Playwright,G,M,AD,Peter Gill
 Thea Gill,1970,Canadian,Actor,B,F,AD,Thea Gill
 Tim Gill,1953,American,"Software entrepreneur, LGBT rights activist",G,M,AD,Tim Gill
 Kayne Gillaspie,1979,American,Fashion designer,G,M,AD,Kayne Gillaspie
 Christopher Gillis,1951-1993,Canadian,"Dancer, choreographer",G,M,AD,Christopher Gillis
 Dan Gillespie Sells,1979,English,Rock musician (The Feeling),G,M,AD,Dan Gillespie Sells
 Laura Gilpin,1891-1979,American,Photographer,L,F,AD,Laura Gilpin
 Ginal Joann,�,American,Politician,L,F,AD,"Ginal, JoannJoann Ginal"
 Candace Gingrich,1966,American,LGBT rights activist,L,F,AD,Candace Gingrich
 Jon Ginoli,1959,American,Rock musician (Pansy Division),G,M,AD,Jon Ginoli
 Allen Ginsberg,1926-1997,American,Poet,G,M,AD,Allen Ginsberg
 Missy Giove,1972,American,Professional mountain biker,L,F,AD,Missy Giove
 Barbara Gittings,1932-2007,American,Gay rights activist,L,F,AD,Barbara Gittings
 Chris Glaser,1977,American,"Christian minister, activist, author",G,M,AD,Chris Glaser
 Sherry Glaser,1960,American,"Activist, actor",L,F,AD,Sherry Glaser
 Gerald Glaskin,1923-2000,Australian,Writer,G,M,AD,Gerald Glaskin
 Todd Glass,1964,American,Stand Up Comedian,G,M,AD,Todd Glass
 Thomas Glave,1964,American,"Writer, essayist, professor",G,M,AD,Thomas Glave
 James Gleeson,1915-2008,Australian,Painter,G,M,AD,James Gleeson
 Deborah Glick,1950,American,Politician,L,F,AD,Deborah Glick
 John Glover,1944,American,Actor,G,M,AD,John Glover
 Gluck,1895-1978,British,Painter,L,F,AD,Gluck
 Karel Goeyvaerts,1923-1993,Belgian,20th century classical composer,G,M,AD,Karel Goeyvaerts
 Michael Goff,�,,Founder of Out Magazine,G,M,AD,Michael Goff
 Manvendra Singh Gohil,1965,Indian,Prince of Rajpipla,G,M,AD,Manvendra Singh Gohil
 Ari Gold,1974,American,R&B musician,G,M,AD,Ari Gold
 Judy Gold,1962,American,Comedian,L,F,AD,Judy Gold
 Jackie Goldberg,1937,American,Politician,L,F,AD,Jackie Goldberg
 Alison Goldfrapp,1966,British,Musician,B,F,AD,Alison Goldfrapp
 Julie Goldman,�,American,Comedian,L,F,AD,Julie Goldman
 Andrea Goldsmith,1950,Australian,Writer,L,F,AD,Andrea Goldsmith
 Andrew Goldstein,1983,American,Lacrosse player,G,M,AD,Andrew Goldstein
 Oliver Goldstick,1961,American,"Screenwriter, producer",G,M,AD,Oliver Goldstick
 Gabriella Goliger,�,Canadian,Writer,L,F,AD,Gabriella Goliger
 Peter Gomes,1942,American,"Baptist preacher, theologian",G,M,AD,Peter Gomes
 Jewelle Gomez,1948,American,"Writer, cultural worker",L,F,AD,Jewelle Gomez
 Marga Gomez,1960,American,Comedian,L,F,AD,Marga Gomez
 Felix Gonzalez Torres,1957-1996,Cuban,Artist,G,M,AD,Félix González-Torres
 Brad Gooch,1952,American,Writer,G,M,AD,Brad Gooch
 Paul Goodman,1911-1972,American,Writer,B,M,AD,Paul Goodman
 Julie Goodyear,1942,English,Actor,B,F,AD,Julie Goodyear
 Debbie Googe,1962,English,Rock musician (My Bloody Valentine),L,F,AD,Debbie Googe
 Derrick Gordon,1991,American,College basketball player,G,M,AD,Derrick Gordon
 Peter Gordon,1963,New Zealander,Chef,G,M,AD,Peter Gordon
 Rich Gordon,1948,American,Politician,G,M,AD,Rich Gordon
 Lesley Gore,1946-2015,American,Pop musician,L,F,AD,Lesley Gore
 Eva Gore Booth,1870-1926,Irish,"Writer, activist",L,F,AD,Eva Gore-Booth
 John C Goss,1958,American,"Artist, writer",G,M,AD,John C. Goss
 Jason Gould,1966,American,Actor,G,M,AD,Jason Gould
 Nickolas Grace,1947,English,Actor,G,M,AD,Nickolas Grace
 Joey Graceffa,1991,American,YouTube Personality,G,M,AD,Joey Graceffa
 Gwendolyn Graham,1963,American,Serial killer,L,F,AD,Gwendolyn Graham
 Jessica Graham,�,American,Actor,L,F,AD,Jessica Graham
 Judy Grahn,1940,American,Poet,L,F,AD,Judy Grahn
 Percy Grainger,1882-1961,Australian,"Composer, pianist",G,M,AD,Percy Grainger
 Elisabeth de Gramont,1875-1954,French,Writer,B,F,AD,Elisabeth de Gramont
 Michael Grandage,1962,English,Theatre director,G,M,AD,Michael Grandage
 Farley Granger,1925,American,Actor,B,M,AD,Farley Granger
 John Grant,1968,American,Musician,G,M,AD,John Grant
 Russell Grant,1951,English,Astrologer,G,M,AD,Russell Grant
 Toni Graphia,1961,American,"Television writer, producer",L,F,AD,Toni Graphia
 Mitch Grassi,1992,American,"Singer, songwriter",G,M,AD,Mitch Grassi
 Jim Gray,1958-2005,British,Northern Ireland Ulster loyalist paramilitary leader,B,M,AD,Jim Gray
 Devin K Grayson,�,American,Comic book writer and novelist,B,M,AD,Devin K. Grayson
 Steven Greenberg,1956,American,Orthodox rabbi,G,M,AD,Steven Greenberg
 Kenny Greene,1969-2001,American,R&B musician,G,M,AD,Kenny Greene
 Robert Joseph Greene,1973,Canadian,Writer,G,M,AD,Robert Joseph Greene
 Glenn Greenwald,1967,American,Commentator,G,M,AD,Glenn Greenwald
 Alex Greenwich,1980,Australian,Politician,G,M,AD,Alex Greenwich
 Brian Greig,1966,Australian,Politician,G,M,AD,Brian Greig
 Dorien Grey b Roger Margason,�-2015,American,Mystery writer,G,M,AD,Dorien Grey (b. Roger Margason)
 Sasha Grey,1988,American,Former porn star,B,F,AD,Sasha Grey
 John Greyson,1960,Canadian,Filmmaker,G,M,AD,John Greyson
 Charles Griffes,1884-1920,American,20th century classical composer,G,M,AD,Charles Griffes
 Nicola Griffith,1960,British,Writer,L,F,AD,Nicola Griffith
 Brittney Griner,1990,American,Professional basketball player,L,F,AD,Brittney Griner
 Angelina Weld Grimke,1880-1958,American,"Journalist, poet",L,F,AD,Angelina Weld Grimke
 Nick Grimshaw,1984,English,"DJ, radio and television presenter",G,M,AD,Nick Grimshaw
 George Grizzard,1928-2007,American,Actor,G,M,AD,George Grizzard
 David Groff,�,American,"Poet, author",G,M,AD,David Groff
 Jonathan Groff,1985,American,Actor,G,M,AD,Jonathan Groff
 Ole Henrik Gra,1984,Norwegian,Politician,G,M,AD,Ole Henrik Grønn
 Friedrich Paul von Groszheim,1906-1903,German,WWII concentration camp survivor,G,M,AD,Friedrich-Paul von Groszheim
 Brett Josef Grubisic,1963,Canadian,Writer,G,M,AD,Brett Josef Grubisic
 Detlef Grumbach,1955,German,"Writer, journalist",G,M,AD,Detlef Grumbach
 Stephen Guarino,1975,American,"Actor, comedian",G,M,AD,Stephen Guarino
 Patrick Guerriero,�,American,Politician,G,M,AD,Patrick Guerriero
 Michael Guest,1957,American,"Diplomat, Ambassador to Romania",G,M,AD,Michael Guest
 Carol Guess,1968,American,Writer,L,F,AD,Carol Guess
 Herve Guibert,1955-1990,French,Writer,G,M,AD,Hervé Guibert
 Joe Gulla,1964,American,"Playwright, actor",G,M,AD,Joe Gulla
 Steve Gunderson,1951,American,Politician,G,M,AD,Steve Gunderson
 Isobel Gunn,1780-1861,Scottish,Laborer who passed as a man,L,F,AD,Isobel Gunn
 Sakia Gunn,1987-2003,American,Teenage murder victim,L,F,AD,Sakia Gunn
 Tim Gunn,1953,American,Television personality,G,M,AD,Tim Gunn
 Allan Gurganus,1947,American,Writer,G,M,AD,Allan Gurganus
 Reed Gusciora,1960,American,Politician,G,M,AD,Reed Gusciora
 Guzman Lucauca,�,American,Politician,L,F,AD,"Guzmán, LucíaLucía Guzmán"
 Roland Gwynne,1882-1971,British,"Politician, lover of suspected serial killer John Bodkin Adams",G,M,AD,Roland Gwynne
 Jacob Israade Haan,1881-1924,Dutch,Journalist and writer,G,M,AD,Jacob Israël de Haan
 Fritz Haarmann,1879-1925,German,Serial killer,G,M,AD,Fritz Haarmann
 Pekka Haavisto,1958,Finnish,Politician,G,M,AD,Pekka Haavisto
 Marilyn Hacker,1942,American,Poet,L,F,AD,Marilyn Hacker
 Boze Hadleigh,1954,American,Writer,G,M,AD,Boze Hadleigh
 Hadrian,76-138,Roman,"Military commander, emperor",G,M,AD,Hadrian
 Peter Hastrom,1976,Swedish,Athlete,G,M,AD,Peter Häggström
 Kevin Hague,1960,New Zealander,Politician,G,M,AD,Kevin Hague
 Reynaldo Hahn,1875-1947,French,"20th century classical composer and conductor, music critic",G,M,AD,Reynaldo Hahn
 Jorg Haider,1950-2008,Austrian,Politician,G,M,AD,Jörg Haider
 Andrew Haigh,1973,British,"Screenwriter, film director",G,M,AD,Andrew Haigh
 Leisha Hailey,1971,American,"Actor, rock musician",L,F,AD,Leisha Hailey
 William Haines,1900-1973,American,"Actor, interior designer",G,M,AD,William Haines
 Anja Hajduk,1963,German,Politician,L,F,AD,Anja Hajduk
 Rob Halford,1951,British,Heavy metal musician (Judas Priest),G,M,AD,Rob Halford
 Marc Hall,1984,Canadian,LGBT rights activist who fought in court to bring his boyfriend to the prom,G,M,AD,Marc Hall
 Matthew Hall,1970,Canadian,Figure skater,G,M,AD,Matthew Hall
 Radclyffe Hall,1880-1943,British,"Author, poet",L,F,AD,Radclyffe Hall
 Siri Hall Arn �y,1978,Norwegian,Politician,L,F,AD,Siri Hall Arnøy
 Hanne Haller,1950-2005,German,"Singer, composer, writer, producer, sound engineer",L,F,AD,Hanne Haller
 Richard Halliburton,1900-1939,American,"Author, traveler, adventurer",B,M,AD,Richard Halliburton
 Kenneth Halliwell,1926-1967,British,"Artist, lover to playwright Joe Orton",G,M,AD,Kenneth Halliwell
 David Halperin,1952,American,"Writer, queer theorist",G,M,AD,David Halperin
 Halsey,1994,American,"Singer, songwriter",B,M,AD,Halsey
 Boris van der Ham,1973,Dutch,Politician,G,M,AD,Boris van der Ham
 Maggi Hambling,1945,English,Artist,L,F,AD,Maggi Hambling
 Ralph Hamelmann,1967,Canadian,"Comic artist, promoter",G,M,AD,Ralph Hamelmann
 Barbara Hammer,1939,American,Experimental filmmaker,L,F,AD,Barbara Hammer
 Gro Hammerseng,1980,Norwegian,Professional handball player,L,F,AD,Gro Hammerseng
 Vincent Hanley,1954-1987,Irish,"DJ, television personality",G,M,AD,Vincent Hanley
 Kathleen Hanna,1968,American,"Rock musician, activist, writer",B,F,AD,Kathleen Hanna
 Lorraine Hansberry,1930-1965,American,Playwright,L,F,AD,Lorraine Hansberry
 Joseph Hansen,1923-2004,American,Mystery writer,G,M,AD,Joseph Hansen
 Glen Hanson,�,American,"Cartoonist, illustrator",G,M,AD,Glen Hanson
 Gilbert Harding,1907-1960,British,Radio personality,G,M,AD,Gilbert Harding
 David Hardt,�,American,Politician,G,M,AD,David Hardt
 Michelle Hardwick,1976,English,Actress,L,F,AD,Michelle Hardwick
 G H Hardy,1877-1947,English,Mathematician,G,M,AD,G. H. Hardy
 Brian Hargrove,1956,American,TV writer/producer,G,M,AD,Brian Hargrove
 Johann Hari,1979,British,Journalist,G,M,AD,Johann Hari
 Keith Haring,1958-1990,American,Artist,G,M,AD,Keith Haring
 Blake Harper,1968,Canadian,Gay porn star,G,M,AD,Blake Harper
