Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Almodovar Pedro,1949,Spanish,Filmmaker,G,M,AD,"Almodóvar, PedroPedro Almodóvar"
 Almond Marc,1957,British,Rock musician,G,M,AD,"Almond, MarcMarc Almond"
 Alonzo Anne Marie,1951-2005,Canadian,Writer,L,F,AD,"Alonzo, Anne-MarieAnne-Marie Alonzo"
 Alsop Joseph,1910-1989,American,Journalist,G,M,AD,"Alsop, JosephJoseph Alsop"
 Althans Bela Ewald,1966,German,Neo-Nazi activist,G,M,AD,"Althans, Bela EwaldBela Ewald Althans"
 Altman Dennis,1943,Australian,"Academic, LGBT rights activist",G,M,AD,"Altman, DennisDennis Altman"
 Luisa Isabel aarez de Toledo 21st Duchess of Medina Sidonia,1936-2008,Spanish,21st Duchess of Medina Sidonia,L,F,AD,"Alvarez, Luisa !Luisa Isabel Álvarez de Toledo, 21st Duchess of Medina Sidonia"
 Amaechi John,1970,British,"Basketball player, broadcaster",G,M,AD,"Amaechi, JohnJohn Amaechi"
 Amedure Scott,1963-1995,American,"""Jenny Jones Murder"" victim",G,M,AD,"Amedure, ScottScott Amedure"
 Amenabar Alejandro,1972,Spanish,Filmmaker,G,M,AD,"Amenábar, AlejandroAlejandro Amenábar"
 Ames David,1983,British,Actor,G,M,AD,"Ames, DavidDavid Ames"
 Ammiano Tom,1941,American,"San Francisco City Supervisor, comedian",G,M,AD,"Ammiano, TomTom Ammiano"
 Amos Stephen K,,British,Comedian,G,M,AD,"Amos, Stephen K.Stephen K. Amos"
 Amstell Simon,1979,British,"Comedian, television presenter",G,M,AD,"Amstell, SimonSimon Amstell"
 Andelson Sheldon,1931-1988,American,Politician,G,M,AD,"Andelson, SheldonSheldon Andelson"
 Anderson Brett,1967,British,Rock musician (Suede),B,M,AD,"Anderson, BrettBrett Anderson"
 Anderson Gordon Stewart,1958-1991,Canadian,Writer,G,M,AD,"Anderson, Gordon StewartGordon Stewart Anderson"
 Anderson Jane,1954,American,"Actress, playwright, director",L,F,AD,"Anderson, JaneJane Anderson"
 Anderson Lindsay,1923-1994,British,Film director,G,M,AD,"Anderson, LindsayLindsay Anderson"
 Anderson Ruth,1928,American,Composer,L,F,AD,"Anderson, RuthRuth Anderson"
 Andrade Mario de,1893-1945,Brazilian,Writer,G,M,AD,"Andrade, Mário deMário de Andrade"
 Andrews Harry,1911-1989,British,Actor,G,M,AD,"Andrews, HarryHarry Andrews"
 Andrews Robert,1895-1976,British,Actor,G,M,AD,"Andrews, RobertRobert Andrews"
 Andrzejewski Jerzy,1909-1983,Polish,Author,G,M,AD,"Andrzejewski, JerzyJerzy Andrzejewski"
 Anger Kenneth,1927,American,"Filmmaker, author",G,M,AD,"Anger, KennethKenneth Anger"
 Angerer Nadine,1978,German,Football (soccer) player,B,F,AD,"Angerer, NadineNadine Angerer"
 Angguish Dallas,1968,Australian,Writer,G,M,AD,"Angguish, DallasDallas Angguish"
 Annan Alyson,1973,Australian,Field hockey gold medalist,L,F,AD,"Annan, AlysonAlyson Annan"
 Ant,1967,American,"Actor, comedian",B,M,AD,Ant
 Anthony Katharine,1877-1965,American,Biographer,L,F,AD,"Anthony, KatharineKatharine Anthony"
 Anthony Trey,1974,Canadian,"Comedian, playwright",G,M,AD,"Anthony, TreyTrey Anthony"
 Antin Steve,1956,American,"Actor, screenwriter",G,M,AD,"Antin, SteveSteve Antin"
 Antinous,110-130,Greek,Beloved of Roman Emperor Hadrian,G,M,AD,Antinous
 Antonio Nickie,1955,American,Politician,L,F,AD,"Antonio, NickieNickie Antonio"
 Antonio Salvatore,1976,Canadian,"Actor, writer",G,M,AD,"Antonio, SalvatoreSalvatore Antonio"
 Antoniou Laura,1963,American,Author,L,F,AD,"Antoniou, LauraLaura Antoniou"
 Anzalda Gloria E Anzald �a,1942-2004,American,Writer,L,F,AD,"Anzaldúa, Gloria E.Gloria E. Anzaldúa"
 Appiah Kwame Anthony,1954,Ghanaian,"Philosopher, writer",G,M,AD,"Appiah, Kwame AnthonyKwame Anthony Appiah"
 Appleton Alistair,1970,British,Television presenter,G,M,AD,"Appleton, AlistairAlistair Appleton"
 Aptheker Bettina,1944,American,"Activist, academic",L,F,AD,"Aptheker, BettinaBettina Aptheker"
 Apukhtin Aleksey,1840-1893,Russian,Poet,G,M,AD,"Apukhtin, AlekseyAleksey Apukhtin"
 Aragon Louis,1897-1982,French,"Poet, novelist",B,M,AD,"Aragon, LouisLouis Aragon"
 Araki Gregg,1959,American,Filmmaker,G,M,AD,"Araki, GreggGregg Araki"
 Aravosis John,1963,American,LGBT rights activist,G,M,AD,"Aravosis, JohnJohn Aravosis"
 Archer Bert,1968,Canadian,Writer,G,M,AD,"Archer, BertBert Archer"
 Arenas Reinaldo,1943-1990,Cuban,Writer,G,M,AD,"Arenas, ReinaldoReinaldo Arenas"
 Aretino Pietro,1492-1556,Italian,"Writer, satirist",G,M,AD,"Aretino, PietroPietro Aretino"
 Arias Joey,1949,American,"Performance artist, drag performer",G,M,AD,"Arias, JoeyJoey Arias"
 Armenante Jillian,1968,American,"Actress, writer",L,F,AD,"Armenante, JillianJillian Armenante"
 Armstrong Billie Joe,1972,American,Rock musician (Green Day),B,M,AD,"Armstrong, Billie JoeBillie Joe Armstrong"
 Arndt Chip,1966,American,"Reality TV show contestant, LGBT rights activist",G,M,AD,"Arndt, ChipChip Arndt"
 Arndt Judith,1976,German,Cyclist,L,F,AD,"Arndt, JudithJudith Arndt"
 Arnold Alice,1962,British,Ex BBC Radio 4 Newsreader,L,F,AD,"Arnold, AliceAlice Arnold"
 Arnold Mary Ellicott,1876-1968,American,"Social activist, writer",L,F,AD,"Arnold, Mary EllicottMary Ellicott Arnold"
 Arnold Robert,1982,New Zealander,Pop musician,G,M,AD,"Arnold, RobertRobert Arnold"
 Arnott Jake,1961,British,Author,G,M,AD,"Arnott, JakeJake Arnott"
 Aron Jean Paul,1925-1988,French,Writer,G,M,AD,"Aron, Jean-PaulJean-Paul Aron"
 Arondeus Willem,1894-1943,Dutch,Painter and member of the Dutch resistance,G,M,AD,"Arondeus, WillemWillem Arondeus"
 Arrowood John S,1956,American,Judge,G,M,AD,"Arrowood, John S.John S. Arrowood"
 Arrowsmith Pat,1930,British,"Writer, peace activist",L,F,AD,"Arrowsmith, PatPat Arrowsmith"
 Arthur Robert,1925-2008,American,Actor,G,M,AD,"Arthur, RobertRobert Arthur"
 Arvin Newton,1900-1963,American,"Writer, academic",G,M,AD,"Arvin, NewtonNewton Arvin"
 Arzner Dorothy,1897-1979,American,Film director,L,F,AD,"Arzner, DorothyDorothy Arzner"
 Ashbery John,1927,American,Poet,G,M,AD,"Ashbery, JohnJohn Ashbery"
 Ashburn Roy,1954,American,Politician,G,M,AD,"Ashburn, RoyRoy Ashburn"
 Ashman Howard,1950-1991,American,Lyricist,G,M,AD,"Ashman, HowardHoward Ashman"
 Ashton Frederick,1904-1988,British,Choreographer,G,M,AD,"Ashton, FrederickFrederick Ashton"
 Askew Othniel,1972-2003,American,"Politician, murderer",G,M,AD,"Askew, OthnielOthniel Askew"
 Aslan Raoul,1886-1958,Austrian,Actor,G,M,AD,"Aslan, RaoulRaoul Aslan"
 Asquith Anthony,1902-1968,British,Film director,G,M,AD,"Asquith, AnthonyAnthony Asquith"
 Astbury Rob,1948,Australian,"Journalist, television presenter",G,M,AD,"Astbury, RobRob Astbury"
 Asther Nils,1897-1981,Swedish,Stage and silent film actor,G,M,AD,"Asther, NilsNils Asther"
 Astrom Sverker arom,1915-2012,Swedish,Diplomat,G,M,AD,"Astrom, SverkerSverker Åström"
 Atala Karen,1964,Chilean,"Lawyer, fighting for custody of her children",L,F,AD,"Atala, KarenKaren Atala"
 Ataman Kutluay,1961,Turkish,Filmmaker,G,M,AD,"Ataman, KutluğKutluğ Ataman"
 Atherton John,1598-1640,English,Anglican bishop executed for buggery,G,M,AD,"Atherton, JohnJohn Atherton"
 Athey Ron,1961,American,Artist,G,M,AD,"Athey, RonRon Athey"
 Atkins Toni,1962,American,Politician,L,F,AD,"Atkins, ToniToni Atkins"
 Atkinson Ti Grace,1938,American,Feminist author,L,F,AD,"Atkinson, Ti-GraceTi-Grace Atkinson"
 Attling Efva,1952,Swedish,Jewelry designer,L,F,AD,"Attling, EfvaEfva Attling"
 Atwater Rhodes Amelia,1984,American,Writer,L,F,AD,"Atwater-Rhodes, AmeliaAmelia Atwater-Rhodes"
