"Name","Lifetime","Nationality","Notable.as","Orientation","Sex","Era","Name.old","Partners","Link"
" Alam Faisal","1977","American","LGBT Muslim rights activist","G","M","AD","Alam, FaisalFaisal Alam","0","https://en.wikipedia.org/wiki/Faisal_Alam"
" Alber Matt","1978","American","Singer, songwriter","G","M","AD","Alber, MattMatt Alber","0","https://en.wikipedia.org/wiki/Matt_Alber"
" Albee Edward","1928","American","Playwright","G","M","AD","Albee, EdwardEdward Albee","0","https://en.wikipedia.org/wiki/Edward_Albee"
" Alcorn John","","Canadian","Jazz musician","G","M","AD","Alcorn, JohnJohn Alcorn","0","https://en.wikipedia.org/wiki/John_Alcorn"
" Aldridge Sarah","1911-2006","American","Author","L","F","AD","Aldridge, SarahSarah Aldridge","0","https://en.wikipedia.org/wiki/Sarah_Aldridge"
" Aleramo Sibilla","1876-1960","Italian","Writer","L","F","AD","Aleramo, SibillaSibilla Aleramo","0","https://en.wikipedia.org/wiki/Sibilla_Aleramo"
" Alexander the Great","356-323","Greek","King and conqueror","B","M","BC","Alexander !Alexander the Great","Roxana of BactriaStateira II of PersiaParysatis II of Persia","https://en.wikipedia.org/wiki/Alexander_the_Great"
" Alig Michael","1966","American","Party promoter, murderer","G","M","AD","Alig, MichaelMichael Alig","Robert ""Freeze"" Riggs","https://en.wikipedia.org/wiki/Michael_Alig"
" Napier Sturt 3rd Baron Alington","1896-1940","British","Peer","B","M","AD","Alington !Napier Sturt, 3rd Baron Alington","0","0"
" Alland Sandra","1973","Canadian","Writer, artist, activist","L","F","AD","Alland, SandraSandra Alland","0","https://en.wikipedia.org/wiki/Sandra_Alland"
" Allan Maud","1873-1956","Canadian","Dancer","L","F","AD","Allan, MaudMaud Allan","0","https://en.wikipedia.org/wiki/Maud_Allan"
" Allegret Marc","1900-1973","French","Film director","B","M","AD","Allegret, MarcMarc Allégret","0","https://en.wikipedia.org/wiki/Marc_Allegret"
" Allen Chad","1974","American","Actor, gay activist","G","M","AD","Allen, ChadChad Allen","0","https://en.wikipedia.org/wiki/Chad_Allen"
" Allen Paula Gunn","1939","American","Writer","L","F","AD","Allen, Paula GunnPaula Gunn Allen","0","https://en.wikipedia.org/wiki/Paula_Gunn_Allen"
" Allen Peter","1944-1992","Australian","Entertainer","G","M","AD","Allen, PeterPeter Allen","0","https://en.wikipedia.org/wiki/Allen_Peter"
