Name,Lifetime,Nationality,Notable.as,Orientation,Sex,Era,Name.old,Partners,Link
 Colette,1873-1954,French,Author,L,F,AD,Colette,NA,https://en.wikipedia.org/wiki/Colette
 Chris Colfer,1990,American,"Actor, singer",G,M,AD,Chris Colfer,NA,https://en.wikipedia.org/wiki/Chris_Colfer
 Cyril Collard,1957-1993,French,Author,G,M,AD,Cyril Collard,NA,https://en.wikipedia.org/wiki/Cyril_Collard
 James Collins,�,Canadian,"actor, singer & songwriter",G,M,AD,James Collins,NA,https://en.wikipedia.org/wiki/James_Collins
 Jason Collins,1978,American,Professional basketball player,G,M,AD,Jason Collins,NA,https://en.wikipedia.org/wiki/Jason_Collins
 Marcus Collins,1988,British,Singer,G,M,AD,Marcus Collins,NA,https://en.wikipedia.org/wiki/Marcus_Collins
 Simon Collins,1976,Canadian,Musician,B,M,AD,Simon Collins,NA,https://en.wikipedia.org/wiki/Simon_Collins
 Maureen Colquhoun,1928,English,Politician,L,F,AD,Maureen Colquhoun,NA,https://en.wikipedia.org/wiki/Maureen_Colquhoun
 Robert Colquhoun,1914-1962,Scottish,Set designer,G,M,AD,Robert Colquhoun,NA,https://en.wikipedia.org/wiki/Robert_Colquhoun
 Zebedy Colt,1929-2004,American,"Actor, director",G,M,AD,Zebedy Colt,NA,https://en.wikipedia.org/wiki/Zebedy_Colt
 Paola Concia,1963,Italian,Politician,L,F,AD,Paola Concia,NA,https://en.wikipedia.org/wiki/Paola_Concia
 Bill Condon,1955,American,"Screenwriter, director",G,M,AD,Bill Condon,NA,https://en.wikipedia.org/wiki/Bill_Condon
 Charlie Condou,1974,English,Actor,G,M,AD,Charlie Condou,NA,https://en.wikipedia.org/wiki/Charlie_Condou
 Timothy Conigrave,1959-1994,Australian,"Actor, playwright",G,M,AD,Timothy Conigrave,NA,https://en.wikipedia.org/wiki/Timothy_Conigrave
 Cathy Connolly,1956,American,Politician,L,F,AD,Cathy Connolly,NA,https://en.wikipedia.org/wiki/Cathy_Connolly
 Jasper Conran,1959,English,Fashion designer,G,M,AD,Jasper Conran,NA,https://en.wikipedia.org/wiki/Jasper_Conran
 Massimo Consoli,1945-2007,Italian,"Activist, writer, historian",G,M,AD,Massimo Consoli,NA,https://en.wikipedia.org/wiki/Massimo_Consoli
 Nancy Cook,1884-1962,American,"Suffragette, teacher",L,F,AD,Nancy Cook,NA,https://en.wikipedia.org/wiki/Nancy_Cook
 Natalie Cook,1975,Australian,Olympic volleyball player,L,F,AD,Natalie Cook,NA,https://en.wikipedia.org/wiki/Natalie_Cook
 Tim Cook,1960,American,CEO of Apple Inc.,G,M,AD,Tim Cook,NA,https://en.wikipedia.org/wiki/Tim_Cook
 Anderson Cooper,1967,American,"journalist, author, television personality",G,M,AD,Anderson Cooper,NA,https://en.wikipedia.org/wiki/Anderson_Cooper
 Dennis Cooper,1953,American,Artist,G,M,AD,Dennis Cooper,NA,https://en.wikipedia.org/wiki/Dennis_Cooper
 Colleen Coover,1969,American,Comic artist,B,F,AD,Colleen Coover,NA,https://en.wikipedia.org/wiki/Colleen_Coover
 Bleu Copas,1976,American,Army translator discharged for being gay,G,M,AD,Bleu Copas,NA,https://en.wikipedia.org/wiki/Bleu_Copas
 Aaron Copland,1900-1990,American,Classical composer,G,M,AD,Aaron Copland,NA,https://en.wikipedia.org/wiki/Aaron_Copland
 Tee Corinne,1943-2006,American,Writer,L,F,AD,Tee Corinne,NA,https://en.wikipedia.org/wiki/Tee_Corinne
 Cat Cora,1968,American,Chef,L,F,AD,Cat Cora,NA,https://en.wikipedia.org/wiki/Cat_Cora
 John Corigliano,1938,American,Classical composer,G,M,AD,John Corigliano,NA,https://en.wikipedia.org/wiki/John_Corigliano
 William Corlett,1938-2005,English,"Novelist, playwright",G,M,AD,William Corlett,NA,https://en.wikipedia.org/wiki/William_Corlett
 Dean Corll,1939-1973,American,Serial killer,G,M,AD,Dean Corll,NA,https://en.wikipedia.org/wiki/Dean_Corll
 Michael G Cornelius,�,American,Writer,G,M,AD,Michael G. Cornelius,NA,0
 Jessica Cornish,1988,English,Singer-songwriter,B,F,AD,Jessica Cornish,NA,https://en.wikipedia.org/wiki/Jessica_Cornish
 Patricia Cornwell,1956,American,Author,B,F,AD,Patricia Cornwell,NA,https://en.wikipedia.org/wiki/Patricia_Cornwell
 Peter and Murray Corren,�,Canadian,LGBT rights activists,G,M,AD,Peter and Murray Corren,NA,0
 Rose Cossar,1991,Canadian,Gymnast,L,F,AD,Rose Cossar,NA,https://en.wikipedia.org/wiki/Rose_Cossar
 Antony Cotton,1975,English,Actor,G,M,AD,Antony Cotton,NA,https://en.wikipedia.org/wiki/Antony_Cotton
 Douglas Coupland,1961,Canadian,Author,G,M,AD,Douglas Coupland,NA,https://en.wikipedia.org/wiki/Douglas_Coupland
 Brendan Courtney,1973,Irish,Television presenter,G,M,AD,Brendan Courtney,NA,https://en.wikipedia.org/wiki/Brendan_Courtney
 Noa Coward,1899-1973,English,"Actor, playwright",G,M,AD,Noël Coward,NA,0
 Henry Cowell,1897-1965,American,"20th century classical composer, musician",B,M,AD,Henry Cowell,NA,https://en.wikipedia.org/wiki/Henry_Cowell
 Colin Cowie,1962,South African,Wedding planner,G,M,AD,Colin Cowie,NA,https://en.wikipedia.org/wiki/Colin_Cowie
 Daniel Allen Cox,1976,Canadian,Writer,G,M,AD,Daniel Allen Cox,NA,https://en.wikipedia.org/wiki/Daniel_Allen_Cox
 Edith Craig,1869-1947,English,"Theatre director, producer, costume designer, suffragette",L,F,AD,Edith Craig,NA,https://en.wikipedia.org/wiki/Edith_Craig
 Cason Crane,1993,American,Mountain climber,G,M,AD,Cason Crane,NA,https://en.wikipedia.org/wiki/Cason_Crane
 Cheryl Crane,1943,American,"Lana Turner's daughter, killer of Turner's abusive boyfriend",L,F,AD,Cheryl Crane,NA,https://en.wikipedia.org/wiki/Cheryl_Crane
 Hart Crane,1899-1932,American,Poet,G,M,AD,Hart Crane,NA,https://en.wikipedia.org/wiki/Hart_Crane
 Nicky Crane,1958-1993,English,Neo-Nazi activist,G,M,AD,Nicky Crane,NA,https://en.wikipedia.org/wiki/Nicky_Crane
 Scott Cranham,1954,Canadian,Diver,G,M,AD,Scott Cranham,NA,https://en.wikipedia.org/wiki/Scott_Cranham
 Anthony Crank,�,English,Television presenter,G,M,AD,Anthony Crank,NA,https://en.wikipedia.org/wiki/Anthony_Crank
 Toller Cranston,1949,Canadian,"Figure skater, artist",G,M,AD,Toller Cranston,NA,https://en.wikipedia.org/wiki/Toller_Cranston
 Joan Crawford,1905-1977,American,Actor,B,F,AD,Joan Crawford,NA,https://en.wikipedia.org/wiki/Joan_Crawford
 Darby Crash,1958-1980,American,Punk rock musician (Germs),G,M,AD,Darby Crash,NA,https://en.wikipedia.org/wiki/Darby_Crash
 Gavin Crawford,1971,Canadian,"Comedian, actor",G,M,AD,Gavin Crawford,NA,https://en.wikipedia.org/wiki/Gavin_Crawford
 Quentin Crisp,1908-1999,English,Writer,G,M,AD,Quentin Crisp,NA,https://en.wikipedia.org/wiki/Quentin_Crisp
 Chris Crocker,1987,American,Internet celebrity,G,M,AD,Chris Crocker,NA,https://en.wikipedia.org/wiki/Chris_Crocker
 Richard Cromwell,1910-1960,American,Actor,G,M,AD,Richard Cromwell,NA,https://en.wikipedia.org/wiki/Richard_Cromwell
 Rodney Croome,�,Australian,LGBT rights activist,G,M,AD,Rodney Croome,NA,https://en.wikipedia.org/wiki/Rodney_Croome
 Aleister Crowley,1875-1947,English,"Occultist, hedonist",B,M,AD,Aleister Crowley,NA,https://en.wikipedia.org/wiki/Aleister_Crowley
 Howard Cruse,1944,American,Cartoonist,G,M,AD,Howard Cruse,NA,https://en.wikipedia.org/wiki/Howard_Cruse
 Bobby Crush,1954,English,"Pianist, TV presenter",G,M,AD,Bobby Crush,NA,https://en.wikipedia.org/wiki/Bobby_Crush
 Benjamin Cruz,1953,American,"Judge, Politician",G,M,AD,Benjamin Cruz,NA,https://en.wikipedia.org/wiki/Benjamin_Cruz
 Orlando Cruz,1981,Puerto Rican,Professional boxer,G,M,AD,Orlando Cruz,NA,https://en.wikipedia.org/wiki/Orlando_Cruz
 Wilson Cruz,1973,American,Actor,G,M,AD,Wilson Cruz,NA,https://en.wikipedia.org/wiki/Wilson_Cruz
 Steve Cruz,1972,American,Pornographic actor,G,M,AD,Steve Cruz,NA,https://en.wikipedia.org/wiki/Steve_Cruz
 Hugues Cuenod,1902,Swiss,Tenor,G,M,AD,Hugues Cuénod,NA,https://en.wikipedia.org/wiki/Hugues_Cuenod
 George Cukor,1899-1983,American,Director,G,M,AD,George Cukor,NA,https://en.wikipedia.org/wiki/George_Cukor
 Countee Cullen,1903-1946,American,Romantic Poet,B,M,AD,Countee Cullen,NA,https://en.wikipedia.org/wiki/Countee_Cullen
 Mitch Cullin,1968,American,Writer,G,M,AD,Mitch Cullin,NA,https://en.wikipedia.org/wiki/Mitch_Cullin
 Bonnie Cullison,1954,American,Politician,L,F,AD,Bonnie Cullison,NA,https://en.wikipedia.org/wiki/Bonnie_Cullison
 Alan Cumming,1965,Scottish,Actor,B,M,AD,Alan Cumming,NA,https://en.wikipedia.org/wiki/Alan_Cumming
 Conrad Cummings,1948,American,Contemporary classical composer,G,M,AD,Conrad Cummings,NA,https://en.wikipedia.org/wiki/Conrad_Cummings
 Philip Cummings,1906-1991,American,"Public speaker, political analyst",G,M,AD,Philip Cummings,NA,https://en.wikipedia.org/wiki/Philip_Cummings
 Andrew Cunanan,1969-1997,American,Serial killer,G,M,AD,Andrew Cunanan,NA,https://en.wikipedia.org/wiki/Andrew_Cunanan
 Merce Cunningham,1919-2009,American,"Dancer, choreographer",G,M,AD,Merce Cunningham,NA,https://en.wikipedia.org/wiki/Merce_Cunningham
 Michael Cunningham,1952,American,Writer,G,M,AD,Michael Cunningham,NA,https://en.wikipedia.org/wiki/Michael_Cunningham
 Adrianne Curry,1982,American,Model,B,M,AD,Adrianne Curry,NA,https://en.wikipedia.org/wiki/Adrianne_Curry
 John Curry,1949-1994,English,Figure skater,G,M,AD,John Curry,NA,https://en.wikipedia.org/wiki/John_Curry
 Tyler Curry,1983,American,HIV activist,G,M,AD,Tyler Curry,NA,https://en.wikipedia.org/wiki/Tyler_Curry
 Bonnie Curtis,1966,American,Film producer,L,F,AD,Bonnie Curtis,NA,https://en.wikipedia.org/wiki/Bonnie_Curtis
 Catie Curtis,1965,American,Folk rock musician,L,F,AD,Catie Curtis,NA,https://en.wikipedia.org/wiki/Catie_Curtis
 Daniel Curzon,1938,American,Writer,G,M,AD,Daniel Curzon,NA,https://en.wikipedia.org/wiki/Daniel_Curzon
 Donal a Cusack,1977,Irish,"Hurler, GAA athlete",G,M,AD,Donal Óg Cusack,NA,0
 Charlotte Cushman,1816-1876,American,Actor,L,F,AD,Charlotte Cushman,NA,https://en.wikipedia.org/wiki/Charlotte_Cushman
 Julie Cypher,1964,American,"LGBT rights activist, director",B,F,AD,Julie Cypher,NA,https://en.wikipedia.org/wiki/Julie_Cypher
 Jacques d' Adelswa Fersen,1880-1923,French,Aristocrat and writer,G,M,AD,Jacques d'Adelswärd-Fersen,NA,0
 Charles Coypeau d' Assoucy,1605-1677,French,Musician and burlesque poet,G,M,AD,Charles Coypeau d'Assoucy,NA,0
 Torstein Dahle,1947,Norwegian,Politician,G,M,AD,Torstein Dahle,NA,https://en.wikipedia.org/wiki/Torstein_Dahle
 Eva Dahlgren,1960,Swedish,Pop musician,L,F,AD,Eva Dahlgren,NA,https://en.wikipedia.org/wiki/Eva_Dahlgren
 Lisa Dahlkvist,1986,Swedish,Footballer,L,F,AD,Lisa Dahlkvist,NA,https://en.wikipedia.org/wiki/Lisa_Dahlkvist
 Jeffrey Dahmer,1960-1994,American,Serial killer,G,M,AD,Jeffrey Dahmer,NA,https://en.wikipedia.org/wiki/Jeffrey_Dahmer
 Stephen Daldry,1961,English,Film director,G,M,AD,Stephen Daldry,NA,https://en.wikipedia.org/wiki/Stephen_Daldry
 Grover Dale,1935,American,"Actor, dancer, choreographer",B,M,AD,Grover Dale,NA,https://en.wikipedia.org/wiki/Grover_Dale
 James Dale,1971,American,Boy Scouts leader expelled for being gay,G,M,AD,James Dale,NA,https://en.wikipedia.org/wiki/James_Dale
 Tom Daley,1994,British,Olympic diver,G,M,AD,Tom Daley,NA,https://en.wikipedia.org/wiki/Tom_Daley
 Matt Dallas,1982,American,Actor,G,M,AD,Matt Dallas,NA,https://en.wikipedia.org/wiki/Matt_Dallas
 Joe Dallesandro,1948,American,Actor,B,M,AD,Joe Dallesandro,NA,https://en.wikipedia.org/wiki/Joe_Dallesandro
 Sam D' Allesandro,1956-1988,American,Writer,G,M,AD,Sam D'Allesandro,NA,0
 Mary Daly,1928,American,Feminist philosopher and theologian,L,F,AD,Mary Daly,NA,https://en.wikipedia.org/wiki/Mary_Daly
 Blyth Daly,1901-1965,American,Actor,L,F,AD,Blyth Daly,NA,https://en.wikipedia.org/wiki/Blyth_Daly
 Anne Seymour Damer,1748-1828,British,Sculptor,B,F,AD,Anne Seymour Damer,NA,https://en.wikipedia.org/wiki/Anne_Seymour_Damer
 Antonio D' Amico,1959,Italian,"Model, fashion designer",G,M,AD,Antonio D'Amico,NA,0
 Alain Danielou,1907-1994,French,"Academic, Hindu convert",G,M,AD,Alain Daniélou,NA,https://en.wikipedia.org/wiki/Alain_Danielou
 Ben Daniels,1964,English,Actor,G,M,AD,Ben Daniels,NA,https://en.wikipedia.org/wiki/Ben_Daniels
 Dani Daniels,1989,American,Porn star,B,F,AD,Dani Daniels,NA,https://en.wikipedia.org/wiki/Dani_Daniels
 David Daniels,1966,American,Singer,G,M,AD,David Daniels,NA,https://en.wikipedia.org/wiki/David_Daniels
 Lee Daniels,1959,American,"Film producer, director",G,M,AD,Lee Daniels,NA,https://en.wikipedia.org/wiki/Lee_Daniels
 Sarah Daniels,1957,English,Playwright,L,F,AD,Sarah Daniels,NA,https://en.wikipedia.org/wiki/Sarah_Daniels
 Jason Danino Holt,1987,Israeli,Television personality,G,M,AD,Jason Danino-Holt,NA,https://en.wikipedia.org/wiki/Jason_Danino_Holt
 Martin Dannecker,1942,German,"Sexologist, writer",G,M,AD,Martin Dannecker,NA,https://en.wikipedia.org/wiki/Martin_Dannecker
 Brian Dannelly,�,American,Film director,G,M,AD,Brian Dannelly,NA,https://en.wikipedia.org/wiki/Brian_Dannelly
 Van Darkholme,1972,Vietnamese-American,Gay pornographic director and actor,G,M,AD,Van Darkholme,NA,https://en.wikipedia.org/wiki/Van_Darkholme
 Ram Dass,1931,American,"Spiritual teacher, writer",B,M,AD,Ram Dass,NA,https://en.wikipedia.org/wiki/Ram_Dass
 Charlie David,1980,Canadian,Actor,G,M,AD,Charlie David,NA,https://en.wikipedia.org/wiki/Charlie_David
 Dave Davies,1947,English,Musician,B,M,AD,Dave Davies,NA,https://en.wikipedia.org/wiki/Dave_Davies
 Libby Davies,1953,Canadian,Member of Parliament,L,F,AD,Libby Davies,NA,https://en.wikipedia.org/wiki/Libby_Davies
 Peter Maxwell Davies,1934,English,Contemporary classical composer and conductor,G,M,AD,Peter Maxwell Davies,NA,https://en.wikipedia.org/wiki/Peter_Maxwell_Davies
 Ron Davies,1946,Welsh,Politician,B,M,AD,Ron Davies,NA,https://en.wikipedia.org/wiki/Ron_Davies
 Russell T Davies,1963,British,Television producer and writer,G,M,AD,Russell T Davies,NA,https://en.wikipedia.org/wiki/Russell_T_Davies
 Steven Davies,1986,British,Cricketer,G,M,AD,Steven Davies,NA,https://en.wikipedia.org/wiki/Steven_Davies
 Terence Davies,1945,English,Filmmaker,G,M,AD,Terence Davies,NA,https://en.wikipedia.org/wiki/Terence_Davies
 Angela Davis,1944,American,Activist,L,F,AD,Angela Davis,NA,https://en.wikipedia.org/wiki/Angela_Davis
 Clive Davis,1932,American,Record company executive,B,M,AD,Clive Davis,NA,https://en.wikipedia.org/wiki/Clive_Davis
 Evan Davis,1962,English,"Journalist, economist",G,M,AD,Evan Davis,NA,https://en.wikipedia.org/wiki/Evan_Davis
 Frederick W Davis,1880-1961,American-Mexican,Art dealer,G,M,AD,Frederick W. Davis,NA,0
 Madeline Davis,1940,American,Activist,L,F,AD,Madeline Davis,NA,https://en.wikipedia.org/wiki/Madeline_Davis
 Tanya Davis,�,Canadian,"musician, poet",B,F,AD,Tanya Davis,NA,https://en.wikipedia.org/wiki/Tanya_Davis
 Vaginal Davis,1969,American,Artist,L,F,AD,Vaginal Davis,NA,https://en.wikipedia.org/wiki/Vaginal_Davis
 Shane Dawson,1988,American,Internet personality,B,M,AD,Shane Dawson,NA,https://en.wikipedia.org/wiki/Shane_Dawson
 Spencer Day,1978,American,Musician,G,M,AD,Spencer Day,NA,https://en.wikipedia.org/wiki/Spencer_Day
 Richard Deacon,1921-1984,American,Actor,G,M,AD,Richard Deacon,NA,https://en.wikipedia.org/wiki/Richard_Deacon
 James Dean,1931-1955,American,Actor,G,M,AD,James Dean,NA,https://en.wikipedia.org/wiki/James_Dean
 Mercedes de Acosta,1893-1968,American,"Writer, socialite",L,F,AD,Mercedes de Acosta,NA,https://en.wikipedia.org/wiki/Mercedes_de_Acosta
 Dick De Bartolo,1945,American,"Comic writer, satirist",G,M,AD,Dick DeBartolo,NA,0
 Dean De Blois,1970,Canadian,"Film director, animator",G,M,AD,Dean DeBlois,NA,0
 Frank De Caro,1962,American,"Writer, performer",G,M,AD,Frank DeCaro,NA,0
 Jeanine Deckers aka The Singing Nun,1933-1985,Belgian,"Musician, clergy",L,F,AD,"Jeanine Deckers, a.k.a. ""The Singing Nun""",NA,0
 Ellen De Generes,1958,American,"Comedian, actor, talk show host",L,F,AD,Ellen DeGeneres,NA,https://en.wikipedia.org/wiki/Ellen_De_Generes
 Robin De Groot,�,Canadian,"Designer, TV personality",G,M,AD,Robin De Groot,NA,https://en.wikipedia.org/wiki/Robin_De_Groot
 Jacek Dehnel,1980,Polish,"Writer, translator",G,M,AD,Jacek Dehnel,NA,https://en.wikipedia.org/wiki/Jacek_Dehnel
 Andreas Deja,1957,German,Animator,G,M,AD,Andreas Deja,NA,https://en.wikipedia.org/wiki/Andreas_Deja
 Bertrand Delano �,1950,French,Politician,G,M,AD,Bertrand Delanoë,NA,0
 Samuel R Delany,1942,American,Author,G,M,AD,Samuel R. Delany,NA,https://en.wikipedia.org/wiki/Samuel_R_Delany
 Lea De Laria,1958,American,"Comedian, actor, jazz musician",L,F,AD,Lea DeLaria,NA,https://en.wikipedia.org/wiki/Lea_De_Laria
 Mazo de la Roche,1879-1961,Canadian,Writer,G,M,AD,Mazo de la Roche,NA,0
 Gabi Delgado Lopez,1958,Spanish-German,Musician (Deutsch Amerikanische Freundschaft),B,F,AD,Gabi Delgado-López,NA,0
 Casey Dellacqua,1985,Australian,Tennis player,L,F,AD,Casey Dellacqua,NA,https://en.wikipedia.org/wiki/Casey_Dellacqua
 Cara Delevingne,1992,English,"Model, actress",B,F,AD,Cara Delevingne,NA,https://en.wikipedia.org/wiki/Cara_Delevingne
 David Del Tredici,1937,American,Contemporary classical composer,G,M,AD,David Del Tredici,NA,https://en.wikipedia.org/wiki/David_Del_Tredici
 Guilherme de Melo,1931,Portuguese,"Journalist, novelist, activist",G,M,AD,Guilherme de Melo,NA,https://en.wikipedia.org/wiki/Guilherme_de_Melo
 Barbara Deming,1917-1984,American,Activist,L,F,AD,Barbara Deming,NA,https://en.wikipedia.org/wiki/Barbara_Deming
 Rosemary Dempsey,�,American,"Lawyer, activist",L,F,AD,Rosemary Dempsey,NA,https://en.wikipedia.org/wiki/Rosemary_Dempsey
 Shawna Dempsey,�,Canadian,"Performance artists, writers",L,F,AD,Shawna Dempsey,NA,https://en.wikipedia.org/wiki/Shawna_Dempsey
 Robert De Niro Sr,1922-1993,American,Painter,B,M,AD,"Robert De Niro, Sr.",NA,0
 Barry Dennen,1938,American,"Actor, writer",G,M,AD,Barry Dennen,NA,https://en.wikipedia.org/wiki/Barry_Dennen
 Robert Denning,1927-2005,American,Interior designer,G,M,AD,Robert Denning,NA,https://en.wikipedia.org/wiki/Robert_Denning
 Denice Denton,1959-2006,American,Academic,L,F,AD,Denice Denton,NA,https://en.wikipedia.org/wiki/Denice_Denton
 Nick Denton,1967,English,"Journalist, blogger",G,M,AD,Nick Denton,NA,https://en.wikipedia.org/wiki/Nick_Denton
 Paulale d' Entremont,�,Canadian,Documentary filmmaker,G,M,AD,Paul-Émile d'Entremont,NA,0
 Dena De Rose,1966,American,Jazz musician,L,F,AD,Dena DeRose,NA,0
 Portia de Rossi,1973,Australian,"Actress, wife of Ellen DeGeneres",L,F,AD,Portia de Rossi,NA,https://en.wikipedia.org/wiki/Portia_de_Rossi
 Felipa de Souza,1556-1600,Brazilian,,L,F,AD,Felipa de Souza,NA,https://en.wikipedia.org/wiki/Felipa_de_Souza
 Tony De Vit,1957-1998,English,Disk jockey,G,M,AD,Tony De Vit,NA,https://en.wikipedia.org/wiki/Tony_De_Vit
 Abby De Wald,�,American,Musician,L,F,AD,Abby DeWald,NA,0
 Elsie de Wolfe,1865-1950,American,Interior designer,B,F,AD,Elsie de Wolfe,NA,https://en.wikipedia.org/wiki/Elsie_de_Wolfe
 Sergei Diaghilev,1872-1929,Russian,"Art critic, ballet patron",G,M,AD,Sergei Diaghilev,NA,https://en.wikipedia.org/wiki/Sergei_Diaghilev
 David Diamond,1915-2005,American,Composer,G,M,AD,David Diamond,NA,https://en.wikipedia.org/wiki/David_Diamond
 Guillermo Da,1975,American,Actor,G,M,AD,Guillermo Díaz,NA,0
 Andy Dick,1965,American,"Actor, comedian",B,M,AD,Andy Dick,NA,https://en.wikipedia.org/wiki/Andy_Dick
 Marlene Dietrich,1901-1992,German,Actor,B,F,AD,Marlene Dietrich,NA,https://en.wikipedia.org/wiki/Marlene_Dietrich
 Vincent Dieutre,1960,French,Film director,G,M,AD,Vincent Dieutre,NA,https://en.wikipedia.org/wiki/Vincent_Dieutre
 Ani Di Franco,1970,American,Rock musician,B,F,AD,Ani DiFranco,NA,https://en.wikipedia.org/wiki/Ani_Di_Franco
 Giovanni di,1350-1365,Italian,Hate crime victim,G,M,AD,Giovanni di Giovanni,NA,https://en.wikipedia.org/wiki/di_Giovanni
 Kristian Digby,1977-2010,British,Television presenter and director,G,M,AD,Kristian Digby,NA,https://en.wikipedia.org/wiki/Kristian_Digby
 Christian Dior,1905-1957,French,Fashion designer,G,M,AD,Christian Dior,NA,https://en.wikipedia.org/wiki/Christian_Dior
 Dirk Dirksen,1937-2006,American,Music promoter,G,M,AD,Dirk Dirksen,NA,https://en.wikipedia.org/wiki/Dirk_Dirksen
 Elio Di Rupo,1951,Belgian,Politician,G,M,AD,Elio Di Rupo,NA,https://en.wikipedia.org/wiki/Elio_Di_Rupo
 J D Disalvatore,�,American,"Film director, producer",G,M,AD,JD Disalvatore,NA,0
 Thomas M Disch,1940,American,Writer,G,M,AD,Thomas M. Disch,NA,0
 Beth Ditto,1981,American,Rock musician,L,F,AD,Beth Ditto,NA,https://en.wikipedia.org/wiki/Beth_Ditto
 Boris Dittrich,1955,Dutch,"Politician, LGBT rights activist",G,M,AD,Boris Dittrich,NA,https://en.wikipedia.org/wiki/Boris_Dittrich
 Divine,1945-1988,American,"Actor, drag performer",G,M,AD,Divine,NA,https://en.wikipedia.org/wiki/Divine
 Alix Dobkin,1940,American,Women's music performer-composer,L,F,AD,Alix Dobkin,NA,https://en.wikipedia.org/wiki/Alix_Dobkin
 Jess Dobkin,1970,Canadian,Performance artist,L,F,AD,Jess Dobkin,NA,https://en.wikipedia.org/wiki/Jess_Dobkin
 Jody Dobrowski,1981-2005,English,Murder victim,G,M,AD,Jody Dobrowski,NA,https://en.wikipedia.org/wiki/Jody_Dobrowski
 Farzana Doctor,�,Canadian,Writer,L,F,AD,Farzana Doctor,NA,https://en.wikipedia.org/wiki/Farzana_Doctor
 Betty Dodson,1929,American,Sex educator,B,F,AD,Betty Dodson,NA,https://en.wikipedia.org/wiki/Betty_Dodson
 Owen Dodson,1914-1983,American,"Poet, novelist, playwright",G,M,AD,Owen Dodson,NA,https://en.wikipedia.org/wiki/Owen_Dodson
 Terry Dolan,1950-1986,American,Republican Party operative,G,M,AD,Terry Dolan,NA,https://en.wikipedia.org/wiki/Terry_Dolan
 Domenico Dolce,1958,Italian,"Fashion designer, Dolce & Gabbana",G,M,AD,Domenico Dolce,NA,https://en.wikipedia.org/wiki/Domenico_Dolce
 Ann Donahue,�,American,Television writer,L,F,AD,Ann Donahue,NA,https://en.wikipedia.org/wiki/Ann_Donahue
 Stephen Donaldson,1946-1996,American,Activist,G,M,AD,Stephen Donaldson,NA,https://en.wikipedia.org/wiki/Stephen_Donaldson
 Dong Xian,23-1�,Chinese (Han Dynasty),Courtier,B,M,BC,Dong Xian,NA,https://en.wikipedia.org/wiki/Dong_Xian
 Emma Donoghue,1969,Irish,Writer,L,F,AD,Emma Donoghue,NA,https://en.wikipedia.org/wiki/Emma_Donoghue
 Amanda Donohoe,1962,English,Actor,B,F,AD,Amanda Donohoe,NA,https://en.wikipedia.org/wiki/Amanda_Donohoe
 Savannah Dooley,1985,American,Screenwriter,L,F,AD,Savannah Dooley,NA,https://en.wikipedia.org/wiki/Savannah_Dooley
 Thomas Anthony Dooley,1927-1961,American,Humanitarian,G,M,AD,Thomas Anthony Dooley,NA,https://en.wikipedia.org/wiki/Thomas_Anthony_Dooley
 Heinz Dormer,1912-2001,German,"Youth leader, imprisoned by Nazis",G,M,AD,Heinz Dörmer,NA,https://en.wikipedia.org/wiki/Heinz_Dormer
 Mark Doty,1953,American,Poet,G,M,AD,Mark Doty,NA,https://en.wikipedia.org/wiki/Mark_Doty
 Lord Alfred Douglas,1870-1945,English,"Poet, lover of Oscar Wilde",B,M,AD,Lord Alfred Douglas,NA,https://en.wikipedia.org/wiki/Lord_Alfred_Douglas
 Kyan Douglas,1970,American,Reality show host,G,M,AD,Kyan Douglas,NA,https://en.wikipedia.org/wiki/Kyan_Douglas
 Michelle Douglas,1963,Canadian,"Former soldier, LGBT rights activist",L,F,AD,Michelle Douglas,NA,https://en.wikipedia.org/wiki/Michelle_Douglas
 Orville Lloyd Douglas,1976,Canadian,Writer,G,M,AD,Orville Lloyd Douglas,NA,https://en.wikipedia.org/wiki/Orville_Lloyd_Douglas
 Edward Douglas Scott Montagu 3rd Baron of Beaulieu,1927,English,Politician,B,M,AD,"Edward Douglas-Scott-Montagu, 3rd Baron Montagu of Beaulieu",NA,0
 Gregory Douglass,1980,American,Musician,G,M,AD,Gregory Douglass,NA,https://en.wikipedia.org/wiki/Gregory_Douglass
 Robert Dover,1956,American,Equestrian,G,M,AD,Robert Dover,NA,https://en.wikipedia.org/wiki/Robert_Dover
 Brian Dowling,1978,Irish,Television presenter,G,M,AD,Brian Dowling,NA,https://en.wikipedia.org/wiki/Brian_Dowling
 J D Doyle,1947,American,"Radio producer, Queer Music Collector",G,M,AD,JD Doyle,NA,0
 David Drake,1963,American,Actor,G,M,AD,David Drake,NA,https://en.wikipedia.org/wiki/David_Drake
 Karla Drenner,1961,American,"Politician, academic",L,F,AD,Karla Drenner,NA,https://en.wikipedia.org/wiki/Karla_Drenner
 Donna Dresch,�,American,Rock musician,L,F,AD,Donna Dresch,NA,https://en.wikipedia.org/wiki/Donna_Dresch
 James Dreyfus,1968,English,Actor,G,M,AD,James Dreyfus,NA,https://en.wikipedia.org/wiki/James_Dreyfus
 Tom Driberg Baron Bradwell,1905-1976,English,"Politician, journalist",G,M,AD,"Tom Driberg, Baron Bradwell",NA,0
 Nancy Drolet,1973,Canadian,Ice hockey player,L,F,AD,Nancy Drolet,NA,https://en.wikipedia.org/wiki/Nancy_Drolet
